Location,% of global total,Fossil emissions 2023,Fossil emissions 2000,% change from 2000
Namibia,0.01,4.36,1.95,124.0
Mauritius,0.01,4.21,2.44,73.0
Madagascar,0.01,4.1,1.69,142.0
Democratic Republic of the Congo,0.01,3.8,1.88,102.0
Equatorial Guinea,0.01,3.78,2.74,38.0
Guinea,0.01,3.72,1.47,153.0
Haiti,0.009,3.54,1.69,109.0
Guyana,0.008,3.3,1.66,99.0
Iceland,0.008,3.09,2.85,8.0
Macao,0.008,3.01,1.48,104.0
Maldives,0.007,2.88,0.64,352.0
Niger,0.007,2.82,0.7,302.0
Suriname,0.007,2.63,1.48,78.0
Chad,0.007,2.57,0.24,962.0
Réunion,0.007,2.57,2.05,25.0
Togo,0.006,2.49,1.25,99.0
Curaçao,0.006,2.43,5.67,-57.0
Fiji,0.006,2.21,1.46,51.0
Bhutan,0.005,1.99,0.41,388.0
Malta,0.004,1.68,2.13,-21.0
Bahamas,0.004,1.68,1.0,69.0
Rwanda,0.004,1.65,0.68,142.0
Liberia,0.004,1.64,0.4,307.0
Palau,0.004,1.44,2.12,-32.0
Eswatini,0.004,1.39,1.1,27.0
French Polynesia,0.003,1.26,0.72,75.0
Seychelles,0.003,1.24,0.76,63.0
Guadeloupe,0.003,1.17,0.62,89.0
Martinique,0.003,1.09,0.67,62.0
Sierra Leone,0.003,1.07,0.43,147.0
Cape Verde,0.003,1.01,0.28,256.0
Lesotho,0.002,0.88,0.35,148.0
Somalia,0.002,0.87,0.63,38.0
Burundi,0.002,0.84,0.29,186.0
Barbados,0.002,0.8,0.59,35.0
Djibouti,0.002,0.75,0.74,1.0
East Timor,0.002,0.7,0.23,208.0
Gibraltar,0.002,0.69,0.34,102.0
Eritrea 0.002%,0.67,0.67,,
Gambia,0.002,0.61,0.27,126.0
Greenland,0.001,0.58,0.0,43369.0
Aruba,0.001,0.53,0.27,97.0
Samoa,0.001,0.47,0.19,149.0
Solomon Islands,0.001,0.42,0.24,78.0
French Guiana,0.001,0.38,0.17,119.0
Central African Republic,0.001,0.37,0.26,43.0
Cayman Islands,0.001,0.36,0.13,172.0
Bermuda,0.001,0.35,0.15,133.0
Guinea-Bissau,0.001,0.35,0.2,71.0
Antigua and Barbuda,0.001,0.32,0.14,139.0
Comoros,0.001,0.32,0.09,250.0
Saint Lucia,0.001,0.3,0.1,207.0
Vanuatu,0.001,0.29,0.08,238.0
Belize,0.001,0.28,0.14,101.0
Western Sahara,0.001,0.26,0.26,4.0
Tonga,0.001,0.22,0.1,118.0
São Tomé and Príncipe,0.001,0.21,0.06,288.0
Grenada,0.0004,0.14,0.06,149.0
Cook Islands,0.0004,0.14,0.06,133.0
Saint Kitts and Nevis,0.0003,0.12,0.05,140.0
Turks and Caicos Islands,0.0003,0.1,0.02,481.0
Kiribati,0.0002,0.1,0.03,197.0
Saint Vincent and the Grenadines,0.0002,0.1,0.04,131.0
Dominica,0.0002,0.08,0.06,44.0
British Virgin Islands,0.0002,0.08,0.03,172.0
Saint Pierre and Miquelon,0.0001,0.04,0.02,129.0
Anguilla,0.0001,0.02,0.02,48.0
Falkland Islands,0.0,0.02,0.01,170.0
"Saint Helena, Ascension and Tristan da Cunha",0.0,0.02,0.01,58.0
Faroe Islands,0.0,0.0,0.0,20.0
